Name,price,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,total_shares,dividend_yield,potencial
Park Hotels &amp; Resorts,13.71528,United States,497500000.0,2865354846.976,-52.23688250000001,3361250000.0,208916977.77777776,1.3661471477201766e-05,Empresas de Baixo Potencial
NexPoint Real Estate Finance,14.79840614,United States,-2052500.0,332956739.51839995,-52.23688250000001,-12775000.0,22499500.038616996,1.3661471477201766e-05,Empresas de Baixo Potencial
Portman Ridge,17.372688,United States,15012500.0,160593478.3736,-8.86341,16717500.0,9244020.175438596,1.3661471477201766e-05,Empresas de Baixo Potencial
FS KKR Capital,18.8375561,United States,822500000.0,5275758860.97925,19.81,891250000.0,280065993.32592034,1.3661471477201766e-05,Empresas de Alto Potencial
Canacol Energy,2.5068388754999997,Canada,145692500.0,85510659.07335,0.462276,424833750.0,34110951.40938985,1.3661471477201766e-05,Empresas de Baixo Potencial
Apollo Commercial Real Estate,8.729489984999999,United States,30660000.0,1207698919.4431999,-52.23688250000001,416056250.0,138347019.30105942,1.3661471477201766e-05,Empresas de Baixo Potencial
Trinity Capital,12.8104525,United States,103060000.0,683701526.6719999,17.859,164495000.0,53370599.25650557,1.3661471477201766e-05,Empresas de Baixo Potencial
Gladstone Investment,13.796238249999998,United States,87491250.0,506166035.3296,6.28634,81723750.0,36688699.20607525,1.3661471477201766e-05,Empresas de Baixo Potencial
Berry Corporation,4.76225,United States,-371250.0,366402760.3696,8.38333,1055583750.0,76939001.6,1.3661471477201766e-05,Empresas de Baixo Potencial
TTEC,5.171803499999999,United States,-192932500.0,246818624.4816,2.97794,2924825000.0,47723898.34254144,1.3661471477201766e-05,Empresas de Baixo Potencial
Natural Health Trends,5.344673175,United States,1547500.0,61553528.974,70.237755,53722500.0,11516799.429742495,1.3661471477201766e-05,Empresas de Baixo Potencial
CION Investment,11.315106,United States,158900000.0,604841104.944,16.5,173097500.0,53454303.03030304,1.3661471477201766e-05,Empresas de Baixo Potencial
Great Ajax,3.18594525,United States,-143590000.0,145302998.46559998,-1.80645,-105423750.0,45607500.149476826,1.3661471477201766e-05,Empresas de Baixo Potencial
Great Elm Capital,9.619745,United States,13063750.0,100525375.1804,11.5977,19328750.0,10449900.198019803,1.3661471477201766e-05,Empresas de Baixo Potencial
BrightSpire Capital,5.343244499999999,United States,-127180000.0,697982729.6032,70.237755,473796250.0,130629008.1996435,1.3661471477201766e-05,Empresas de Baixo Potencial
CVR Partners,64.19513,United States,62152500.0,678516846.048,2.76343,665971250.0,10569600.0,1.3661471477201766e-05,Empresas de Baixo Potencial
New York Mortgage Trust,6.0147217500000005,United States,-206218750.0,544809872.9952,-3.52973,333297500.0,90579397.62470308,1.3661471477201766e-05,Empresas de Baixo Potencial
Ellington Residential Mortgage REIT,6.6004784999999995,United States,5491250.0,167170320.87440002,69.9,13662500.0,25327000.288600292,1.3661471477201766e-05,Empresas de Baixo Potencial
AGNC Investment,9.886335755,United States,518750000.0,7735701734.86075,27.7105,642500000.0,468084400.97929186,1.3661471477201766e-05,Empresas de Alto Potencial
Brasil Agro,4.4860394999999995,Brazil,54989500.0,446879085.9088,5.7095,252321372.5,99615504.03397028,1.3661471477201766e-05,Empresas de Baixo Potencial
Prospect Capital,5.062271750000001,United States,328542500.0,2191589095.833625,-12.314,401140000.0,432926007.14958155,1.3661471477201766e-05,Empresas de Baixo Potencial
Chicago Atlantic Real Estate Finance,14.90698544,United States,46610750.0,292542137.29120004,7.86765,68933656.25,19624500.102228582,1.3661471477201766e-05,Empresas de Baixo Potencial
Horizon Technology Finance,10.183976379999999,United States,-26572500.0,367231132.8032,70.237755,-19216250.0,36059699.97381318,1.3661471477201766e-05,Empresas de Baixo Potencial
WhiteHorse Finance,10.98060556,United States,29821250.0,255223317.5872,18.8361,35508750.0,23243100.40940948,1.3661471477201766e-05,Empresas de Baixo Potencial
Ellington Financial,12.299653565,United States,139058750.0,1069208849.1648,29.5909,353715000.0,86929997.13482581,1.3661471477201766e-05,Empresas de Baixo Potencial
Claros Mortgage Trust,7.162424,United States,-124066250.0,995247464.4959999,-20.1316,277383750.0,138954000.0,1.3661471477201766e-05,Empresas de Baixo Potencial
Cato Fashion,4.95121608,United States,-13086250.0,101838095.1076,-52.23688250000001,848581250.0,20568299.476762082,1.3661471477201766e-05,Empresas de Baixo Potencial
Marine Products Corporation,9.334010000000001,United States,40757500.0,324055370.4064,6.95035,359430000.0,34717701.22448979,1.3661471477201766e-05,Empresas de Baixo Potencial
Bradespar,3.238025216,Brazil,445721250.0,1334513878.5755,2.6893,462150503.75,412138198.30101657,1.3661471477201766e-05,Empresas de Baixo Potencial
Blackstone Mortgage Trust,18.14626789,United States,-187552500.0,3150573177.13925,16.8448,735373750.0,173620999.98950526,1.3661471477201766e-05,Empresas de Baixo Potencial
Annaly Capital Management,19.0204265,United States,-598578750.0,10237020621.61925,-4.40512,-424948750.0,468084400.97929186,1.3661471477201766e-05,Empresas de Alto Potencial
Parex Resources,8.405276005,Canada,615285000.0,850411781.8131,1.85868,1826241250.0,101175949.64248887,1.3661471477201766e-05,Empresas de Baixo Potencial
Saratoga Investment,22.09684,United States,23721625.0,303738743.272,8.3913,35262577.5,13745799.999999998,1.3661471477201766e-05,Empresas de Baixo Potencial
NextEra Energy Partners,26.50192125,United States,106250000.0,2478971148.569625,21.1353,1305000000.0,93539299.47888684,1.3661471477201766e-05,Empresas de Baixo Potencial
Angel Oak REIT,9.86261975,United States,62958750.0,230023898.3808,-2.65553,86560000.0,23322799.034282956,1.3661471477201766e-05,Empresas de Baixo Potencial
Dynex Capital,12.08182825,United States,16335000.0,902606843.776,66.5789,61326250.0,74707802.9168309,1.3661471477201766e-05,Empresas de Baixo Potencial
PennantPark Investment,6.62943298,United States,60035000.0,432876120.2912,-5.62602,68050000.0,65296100.22412505,1.3661471477201766e-05,Empresas de Baixo Potencial
Civitas Resources,48.022529,United States,1220532500.0,4722996259.072,4.1668,6005736250.0,98349594.60531534,1.3661471477201766e-05,Empresas de Potencial Mediano
Nu Skin,7.05289225,United States,-194587500.0,350540033.26240003,6.18487,2304748750.0,49701600.54017556,1.3661471477201766e-05,Empresas de Baixo Potencial
Banco del Bajío,2.1942828835,Mexico,1113748750.0,2611045957.58475,2.59815,1951778842.5,468084400.97929186,1.3661471477201766e-05,Empresas de Baixo Potencial
Vale,11.35796625,Brazil,1220532500.0,15534204037.670837,5.61429,10562148750.0,468084400.97929186,3.1202556481783865e-06,Empresas de Muito Alto Potencial
Golub Capital,14.229698245,United States,352932500.0,3765305924.8896246,15.4227,359221250.0,264608979.05636683,1.3661471477201766e-05,Empresas de Baixo Potencial
Black Stone Minerals,14.194648084999999,United States,427453750.0,2990656182.09275,7.17703,631311250.0,210688998.00714928,1.3661471477201766e-05,Empresas de Baixo Potencial
Companhia Siderúrgica Nacional,2.362076,Brazil,1220532500.0,3132325393.3183746,-28.0972,10562148750.0,468084400.97929186,1.3661471477201766e-05,Empresas de Potencial Mediano
Broadcom,141.8878194545,United States,1220532500.0,15534204037.670837,7.18943,10562148750.0,468084400.97929186,1.9330185603073433e-07,Empresas de Muito Alto Potencial
Dorian LPG,32.5642655,United States,383767500.0,1387869420.857625,5.33281,704384463.75,42619398.888564676,1.3661471477201766e-05,Empresas de Baixo Potencial
REV Group,25.54947125,United States,403625000.0,1328536753.83675,66.3415,3094500000.0,51998600.708292544,1.3661471477201766e-05,Empresas de Baixo Potencial
